side	eta	eta_r	phi	dphi	depth	det	rbx	sector	rm	pixel	qie	adc	rm_fi	fi_ch	let_code	crate	block_coupler	htr	fpga	htr_fi	dcc_sl	spigo	dcc	fedid	QIEId	index	oSLBmap	htr_ch	index	oSLB_link	oSLBbit	CSL_i	TwinMux	TwinMux_link	TwinMux_bit	ring	HO label	TwinMux label	old HO label
1	15	15	3	1	4	HO	HO2P02	1	4	15	3	4	7	0	H	3	1.01	2	top	1	10	0	1	724	101297	2235	18	24	888	1	1	169	YB+2_S1	6	1	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	15	15	2	1	4	HO	HO2P02	1	4	14	3	5	7	1	P	3	1.01	2	top	1	10	0	1	724	101297	2234	18	25	889	1	2	169	YB+2_S1	6	2	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	15	15	4	1	4	HO	HO2P02	1	4	16	3	3	7	2	B	3	1.01	2	top	1	10	0	1	724	101297	2236	18	26	890	1	0	169	YB+2_S1	6	0	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	14	14	4	1	4	HO	HO2P02	1	4	11	2	0	4	0	C	3	1.02	2	top	2	10	0	1	724	101298	2164	18	27	891	1	3	169	YB+2_S1	6	3	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	14	14	3	1	4	HO	HO2P02	1	4	6	2	1	4	1	J	3	1.02	2	top	2	10	0	1	724	101298	2163	18	28	892	1	4	169	YB+2_S1	6	4	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	14	14	2	1	4	HO	HO2P02	1	4	2	2	2	4	2	Q	3	1.02	2	top	2	10	0	1	724	101298	2162	18	29	893	1	5	169	YB+2_S1	6	5	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	13	13	3	1	4	HO	HO2P02	1	4	9	2	4	5	0	K	3	1.03	2	top	3	10	0	1	724	101298	2091	18	30	894	1	7	169	YB+2_S1	6	7	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	13	13	2	1	4	HO	HO2P02	1	4	13	2	5	5	1	R	3	1.03	2	top	3	10	0	1	724	101298	2090	18	31	895	1	8	169	YB+2_S1	6	8	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	13	13	4	1	4	HO	HO2P02	1	4	5	2	3	5	2	D	3	1.03	2	top	3	10	0	1	724	101298	2092	18	32	896	1	6	169	YB+2_S1	6	6	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
1	12	12	4	1	4	HO	HO2P02	1	4	12	1	0	2	0	E	3	1.04	2	top	4	10	0	1	724	101300	2020	18	33	897	1	9	169	YB+2_S1	6	9	2	S2F02_CR03_HTR02_Slot-t	RPC_YB+2_S1_Fib6_HO_CR03_HTR02_Slot-t	HO_S1_Hn1
